,X,article.id,Keep,timestamp,coder,journal,year,jpsp.section,first.author,affiliation,specialization,citation,type,citations.number,study.number,sample.size,excluded.participants,expcor,design,conditions.number,predictors.number,dv.number,which.statistical.test,copied.statistic,df.numerator,df.denominator,test.statistic,p.exact,p.exact.value,drop.column,null.predicted,sigtests.number.reported,sigtests.number.significant,total.num.studies,effect.size.reported,effect.size,footnotes.number,additional.analyses,covariates.number,coding.difficulty,comments
1399,1399,575,1,8/10/2015 16:33,Coder6,PSPB,2013,,Robinson,North Dakota State University,Social / Personality,"Robinson, M. D., Fetterman, A. K., Hopkins, K., & Krishnakumar, S. (2013). Losing One’s Cool Social Competence as a Novel Inverse Predictor of Provocation-Related Aggression. Personality and Social Psychology Bulletin, 39(10), 1268-1279.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,1,94,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,2,Basic Correlation (r),"r(92) = −.37, p < .01",,92,-0.37,No,,,No,7,7,3,0,NA,0,No,0,Very Easy,
1400,1400,575,1,8/10/2015 16:37,Coder6,PSPB,2013,,Robinson,North Dakota State University,Social / Personality,"Robinson, M. D., Fetterman, A. K., Hopkins, K., & Krishnakumar, S. (2013). Losing One’s Cool Social Competence as a Novel Inverse Predictor of Provocation-Related Aggression. Personality and Social Psychology Bulletin, 39(10), 1268-1279.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,2,94,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,10,Basic Correlation (r),"r(92) = −.58, p < .01",,92,-0.58,No,,,No,25,14,3,0,NA,0,No,0,Slightly Easy,
1402,1402,575,1,8/10/2015 17:00,Coder6,PSPB,2013,,Robinson,North Dakota State University,Social / Personality,"Robinson, M. D., Fetterman, A. K., Hopkins, K., & Krishnakumar, S. (2013). Losing One’s Cool Social Competence as a Novel Inverse Predictor of Provocation-Related Aggression. Personality and Social Psychology Bulletin, 39(10), 1268-1279.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,3,109,12,"Correlational (i.e., IVs were measured and not manipulated)",,1,2,1,Multilevel modeling,"b = −.04, t = −2.04, p<.05",,99!!,-2.04,No,,,No,10,9,3,0,NA,0,No,0,Slightly Easy,
144,144,65,1,6/17/2015 15:27,Coder6,JPSP,2003,Attitudes and Social Cognition,Robinson,North Dakota State University,Social / Personality,"Robinson, M. D., Solberg, E. C., Vargas, P. T., & Tamir, M. (2003). Trait as default: extraversion, subjective well-being, and the distinction between neutral and positive events. Journal of Personality and Social Psychology, 85(3), 517.","Original Research (i.e., any study with data that is NOT a meta-analysis)",46,1,45,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,0,3,1,Multiple Regression (t -- for individual predictor),"􏰍B  (unstandardized) = 􏰀 .36, p 􏰀= .03",99!!,99!!,0.36,Yes,0.03,Yes,,3,1,4,0,NA,0,No,0,Moderately Easy,"They reported Betas, but did not have any t-tests comparing them to 0. Only had the p-values."
145,145,65,1,6/17/2015 15:33,Coder6,JPSP,2003,Attitudes and Social Cognition,Robinson,North Dakota State University,Social / Personality,"Robinson, M. D., Solberg, E. C., Vargas, P. T., & Tamir, M. (2003). Trait as default: extraversion, subjective well-being, and the distinction between neutral and positive events. Journal of Personality and Social Psychology, 85(3), 517.","Original Research (i.e., any study with data that is NOT a meta-analysis)",46,2,72,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,0,6,2,ANOVA (F),"F(1, 68) =􏰀 5.17, p =􏰀 .03",1,68,5.17,Yes,0.03,Yes,,6,4,4,0,NA,0,No,0,Slightly Easy,
146,146,65,1,6/17/2015 15:37,Coder6,JPSP,2003,Attitudes and Social Cognition,Robinson,North Dakota State University,Social / Personality,"Robinson, M. D., Solberg, E. C., Vargas, P. T., & Tamir, M. (2003). Trait as default: extraversion, subjective well-being, and the distinction between neutral and positive events. Journal of Personality and Social Psychology, 85(3), 517.","Original Research (i.e., any study with data that is NOT a meta-analysis)",46,3,50,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,0,4,3,ANOVA (F),"F(1, 46) 􏰀= 22.64, p 􏰀= .00,",1,46,22.64,Yes,0,Yes,,9,5,4,0,NA,0,No,0,Slightly Easy,
147,147,65,1,6/17/2015 15:42,Coder6,JPSP,2003,Attitudes and Social Cognition,Robinson,North Dakota State University,Social / Personality,"Robinson, M. D., Solberg, E. C., Vargas, P. T., & Tamir, M. (2003). Trait as default: extraversion, subjective well-being, and the distinction between neutral and positive events. Journal of Personality and Social Psychology, 85(3), 517.","Original Research (i.e., any study with data that is NOT a meta-analysis)",46,4,93,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,0,3,3,Multiple Regression (t -- for individual predictor),"B (standardized) =􏰍 􏰀 .33, p 􏰀= .00",,99!!,99!!,Yes,0,Yes,,9,6,4,0,NA,0,No,0,Slightly Easy,"Authors reported unstandardized Betas only. No test statistics included, only p-values."
161,161,67,1,6/18/2015 12:20,Coder6,PSPB,2004,,Sargent,Bates College,Social / Personality,"Sargent, M. J. (2004). Less thought, more punishment: Need for cognition predicts support for punitive responses to crime. Personality and Social Psychology Bulletin, 30(11), 1485-1493.","Original Research (i.e., any study with data that is NOT a meta-analysis)",103,1,110,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,0,1,1,Basic Correlation (r),"r = –.22, p < .02",,110,-0.22,No,,Yes,,4,3,3,0,NA,0,No,0,Moderately Easy,
162,162,67,1,6/18/2015 12:25,Coder6,PSPB,2004,,Sargent,Bates College,Social / Personality,"Sargent, M. J. (2004). Less thought, more punishment: Need for cognition predicts support for punitive responses to crime. Personality and Social Psychology Bulletin, 30(11), 1485-1493.","Original Research (i.e., any study with data that is NOT a meta-analysis)",103,2,1807,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,0,1,1,Multiple Regression (t -- for individual predictor),"Standardized beta = -.12, p < .01",,99!!,99!!,No,,Yes,,12,7,3,1,R-squared = .12,0,No,10,Moderately Easy,
164,164,67,1,6/18/2015 12:29,Coder6,PSPB,2004,,Sargent,Bates College,Social / Personality,"Sargent, M. J. (2004). Less thought, more punishment: Need for cognition predicts support for punitive responses to crime. Personality and Social Psychology Bulletin, 30(11), 1485-1493.","Original Research (i.e., any study with data that is NOT a meta-analysis)",103,3,255,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,0,2,2,z-test (z),"z = –2.03, p < .05",,99!!,-2.03,No,,Yes,,9,7,3,0,NA,0,No,0,Moderately Easy,Main test was a Sobel test showing a significant decrease in the relationship between IV and DV when controlling for the mediator.
992,992,371,1,8/5/2015 15:52,Coder6,JPSP,2003,Attitudes and Social Cognition,Shah,University of Wisconsin - Madison,Social / Personality,"Shah, J. (2003). The motivational looking glass: how significant others implicitly affect goal appraisals. Journal of personality and social psychology, 85(3), 424.","Original Research (i.e., any study with data that is NOT a meta-analysis)",178,1,48,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,2,3,Multiple Regression (t -- for individual predictor),"B =􏰁 0.60, F(1, 44) =􏰁 6.35, p 􏰁= .01",1,44,6.35,Yes,0.01,,No,17,10,3,0,NA,3,No,0,Moderately Easy,
998,998,371,1,8/5/2015 15:59,Coder6,JPSP,2003,Attitudes and Social Cognition,Shah,University of Wisconsin - Madison,Social / Personality,"Shah, J. (2003). The motivational looking glass: how significant others implicitly affect goal appraisals. Journal of personality and social psychology, 85(3), 424.","Original Research (i.e., any study with data that is NOT a meta-analysis)",178,2,47,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,2,4,Multiple Regression (t -- for individual predictor),"B = .055, F(1, 43) = 5.03, p < .05",1,43,5.03,No,,,No,32,18,3,0,NA,0,No,0,Slightly Easy,
1002,1002,371,1,8/5/2015 16:07,Coder6,JPSP,2003,Attitudes and Social Cognition,Shah,University of Wisconsin - Madison,Social / Personality,"Shah, J. (2003). The motivational looking glass: how significant others implicitly affect goal appraisals. Journal of personality and social psychology, 85(3), 424.","Original Research (i.e., any study with data that is NOT a meta-analysis)",178,3,152,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,2,6,Multiple Regression (t -- for individual predictor),"B = .41, F(1, 145) = 6.37, p = .01",1,145,6.37,Yes,0.01,,No,40,27,3,0,NA,0,No,0,Neither Difficult nor Easy,
395,395,225,1,7/13/2015 14:53,Coder6,JPSP,2013,Personality Processes and Individual Differences,Sharma,University of Iowa,Social / Personality,"Sharma, L., Kohl, K., Morgan, T. A., & Clark, L. A. (2013). “Impulsivity”: Relations between self-report and behavior. Journal of personality and social psychology, 104(3), 559.","Original Research (i.e., any study with data that is NOT a meta-analysis)",10,1,895,0,"Correlational (i.e., IVs were measured and not manipulated)",,99!!,99!!,,Factor Analysis,,,,,NA,,,,,,1,0,,99!!,No,,,Did not code because it was a factor analysis
56,56,23,1,6/11/2015 11:11,Coder6,JESP,2013,,Sinaceur,INSEAD,Social / Personality,"Sinaceur, M., Adam, H., Van Kleef, G. A., & Galinsky, A. D. (2013). The advantages of being unpredictable: How emotional inconsistency extracts concessions in negotiation. Journal of Experimental Social Psychology, 49(3), 498-508.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,1,60,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,4,t-test (t),"t(29) = 3.67, p < .001",,29,3.67,No,,,,11,6,3,1,d = .32,0,No,0,Moderately Easy,"60 p's, but 30 dyads"
58,58,23,1,6/11/2015 11:18,Coder6,JESP,2013,,Sinaceur,INSEAD,Social / Personality,"Sinaceur, M., Adam, H., Van Kleef, G. A., & Galinsky, A. D. (2013). The advantages of being unpredictable: How emotional inconsistency extracts concessions in negotiation. Journal of Experimental Social Psychology, 49(3), 498-508.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,2,152,0,"Experimental (i.e., all IVs were manipulated)",Between,4,2,3,ANOVA (F),"F(1, 151) = 25.93, p < .001",1,151,25.93,No,,,,18,12,3,1,η2 = .15.,0,No,0,Slightly Difficult,
59,59,23,1,6/11/2015 11:24,Coder6,JESP,2013,,Sinaceur,INSEAD,Social / Personality,"Sinaceur, M., Adam, H., Van Kleef, G. A., & Galinsky, A. D. (2013). The advantages of being unpredictable: How emotional inconsistency extracts concessions in negotiation. Journal of Experimental Social Psychology, 49(3), 498-508.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,3,90,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,ANOVA (F),"F(1, 89) = 6.95, p < .01",1,89,6.95,No,,,,8,5,3,1,η2 = .07,0,No,0,Moderately Easy,
1271,1271,512,1,8/9/2015 16:10,Coder6,JESP,2013,,Sprecher,Illinois State University,Sociology/Anthropology,"Sprecher, S., Treger, S., Wondra, J. D., Hilaire, N., & Wallpe, K. (2013). Taking turns: Reciprocal self-disclosure promotes liking in initial interactions. Journal of Experimental Social Psychology, 49(5), 860-866.","Original Research (i.e., any study with data that is NOT a meta-analysis)",19,1,168,12,"Experimental (i.e., all IVs were manipulated)",Mixed,2,1,4,MANOVA,"Wilks' Λ = .80, F(4, 72) = 4.58, p = .002, partial η2 = .20",4,72,4.58,Yes,0.002,,No,12,10,1,1,partial η2 = .20,2,No,0,Slightly Easy,
961,961,365,1,8/5/2015 14:35,Coder6,PSPB,2013,,Stavrova,"University of Cologne, Germany",Social / Personality,"Stavrova, O., Schl�sser, T., & Fetchenhauer, D. (2013). Are virtuous people happy all around the world? Civic virtue, antisocial punishment, and subjective well-being across cultures. Personality and social psychology bulletin, 39(7), 927-942.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,1,22200,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,2,2,HLM,"b = -.06, SE = .01, p < .001",,,,No,,,No,92,68,2,0,NA,2,No,12,Slightly Difficult,I coded participants as the number of individual p's. They did HLM and their main analysis was an interaction between a country-level variable (13 countries) and and individual-level variable
963,963,365,1,8/5/2015 14:39,Coder6,PSPB,2013,,Stavrova,"University of Cologne, Germany",Social / Personality,"Stavrova, O., Schl�sser, T., & Fetchenhauer, D. (2013). Are virtuous people happy all around the world? Civic virtue, antisocial punishment, and subjective well-being across cultures. Personality and social psychology bulletin, 39(7), 927-942.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,2,"103,200",0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,2,HLM,"b = .01, SE = .004, p < .05",,,,No,,,No,92,76,2,0,NA,1,No,12,Slightly Difficult,Same comment as before; 73 countries this time
1507,1507,621,1,8/11/2015 16:32,Coder6,JPSP,2003,Interpersonal Relations and Group Processes,Swann,University of Texas at Austin,Social / Personality,"Swann Jr, W. B., Rentfrow, P. J., & Gosling, S. D. (2003). The precarious couple effect: verbally inhibited men+ critical, disinhibited women= bad chemistry. Journal of Personality and Social Psychology, 85(6), 1095.","Original Research (i.e., any study with data that is NOT a meta-analysis)",21,1,431,0,"Correlational (i.e., IVs were measured and not manipulated)",,3,1,2,ANOVA (F),"F(1, 155) =􏰂 5.43, p 􏰃< .01",1,155,5.43,No,,,No,6,3,4,0,NA,0,No,0,Slightly Easy,"The study was correlational, but they split a continuous variable into 3 groups to do their analysis."
1508,1508,621,1,8/11/2015 16:39,Coder6,JPSP,2003,Interpersonal Relations and Group Processes,Swann,University of Texas at Austin,Social / Personality,"Swann Jr, W. B., Rentfrow, P. J., & Gosling, S. D. (2003). The precarious couple effect: verbally inhibited men+ critical, disinhibited women= bad chemistry. Journal of Personality and Social Psychology, 85(6), 1095.","Original Research (i.e., any study with data that is NOT a meta-analysis)",21,2,327,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,4,Basic Correlation (r),"r(201) =􏰂 .61, p < .01",,201,0.61,No,,,No,76,46,4,0,NA,0,No,0,Slightly Easy,There were 2 phases of the experiment. Phase 1 N = 203; Phase 2 N = 124. The primary analysis I coded only included p's from Phase 1
1510,1510,621,1,8/11/2015 16:44,Coder6,JPSP,2003,Interpersonal Relations and Group Processes,Swann,University of Texas at Austin,Social / Personality,"Swann Jr, W. B., Rentfrow, P. J., & Gosling, S. D. (2003). The precarious couple effect: verbally inhibited men+ critical, disinhibited women= bad chemistry. Journal of Personality and Social Psychology, 85(6), 1095.","Original Research (i.e., any study with data that is NOT a meta-analysis)",21,3,564,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,5,Basic Correlation (r),"r(562) =􏰂 􏰁-.14, p <􏰃 .01",,562,-0.14,No,,,No,16,10,4,0,NA,2,No,0,Slightly Easy,
1513,1513,621,1,8/11/2015 16:50,Coder6,JPSP,2003,Interpersonal Relations and Group Processes,Swann,University of Texas at Austin,Social / Personality,"Swann Jr, W. B., Rentfrow, P. J., & Gosling, S. D. (2003). The precarious couple effect: verbally inhibited men+ critical, disinhibited women= bad chemistry. Journal of Personality and Social Psychology, 85(6), 1095.","Original Research (i.e., any study with data that is NOT a meta-analysis)",21,4,168,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,2,2,Multiple Regression (t -- for individual predictor),"r(14) 􏰂= -􏰁.50, p <􏰃 .05",,14,-0.5,No,,,No,19,12,4,0,NA,0,No,0,Neither Difficult nor Easy,"They conducted multiple regression but then followed up the significant interaction with simple correlations at each level of 1 IV to test their main hypothesis. So, the test was regression, but the test statistic reported is r."
324,324,168,1,7/7/2015 10:03,Coder6,JESP,2013,,Tamir,"The Hebrew University, Israel",Social / Personality,"Tamir, M., Ford, B. Q., & Ryan, E. (2013). Nonconscious goals can shape what people want to feel. Journal of experimental social psychology, 49(2), 292-297.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,1,61,1,"Experimental (i.e., all IVs were manipulated)",Mixed,2,2,4,ANOVA (F),"F(1,57) = 4.37, p = .041, η2 = .07",1,57,4.37,Yes,0.041,,No,18,6,2,1, η2 = .07,0,No,0,Slightly Easy,
325,325,168,1,7/7/2015 10:12,Coder6,JESP,2013,,Tamir,"The Hebrew University, Israel",Social / Personality,"Tamir, M., Ford, B. Q., & Ryan, E. (2013). Nonconscious goals can shape what people want to feel. Journal of experimental social psychology, 49(2), 292-297.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,2,66,0,"Experimental (i.e., all IVs were manipulated)",Mixed,3,2,5,ANOVA (F),"F(2,63) = 3.26, p = .045, η2 = .09",2,63,3.26,Yes,0.045,,No,33,15,2,1,η2 = .09,2,No,0,Slightly Easy,
896,896,239,1,8/5/2015 12:09,Coder6,Psych Science,2003,,Terrace,Columbia University,Cognitive,"Terrace, H. S., Son, L. K., & Brannon, E. M. (2003). Serial expertise of rhesus macaques. Psychological Science, 14(1), 66-73.","Original Research (i.e., any study with data that is NOT a meta-analysis)",122,1,4,0,"Experimental (i.e., all IVs were manipulated)",Within,0,1,1,Multiple Regression (t -- for individual predictor),"t(8) =􏰁 11.23, p <􏰂 .05",,8,11.23,No,,,No,7,6,1,0,NA,0,No,0,Moderately Difficult,
1247,1247,409,1,8/9/2015 10:00,Coder6,PSPB,2004,,Tracey,Arizona State University,Clinical,"Tracey, T. J. (2004). Levels of interpersonal complementarity: A simplex representation. Personality and Social Psychology Bulletin, 30(9), 1211-1225.","Original Research (i.e., any study with data that is NOT a meta-analysis)",70,1,156,0,"Correlational (i.e., IVs were measured and not manipulated)",,,,,Randomization test of hypothesized order relations,,,,,NA,,,,,,1,0,,0,No,,Very Difficult,No idea how to code this analysis.
40,40,16,1,6/10/2015 16:05,Coder6,JPSP,2003,,Twenge,San Diego State University,Social / Personality,"Twenge, J. M., Catanese, K. R., & Baumeister, R. F. (2003). Social exclusion and the deconstructed state: time perception, meaninglessness, lethargy, lack of emotion, and self-awareness. Journal of personality and social psychology, 85(3), 409.","Original Research (i.e., any study with data that is NOT a meta-analysis)",400,1,54,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,9,ANOVA (F),"F(1, 37)= 􏰀 8.58, p 􏰁< .006",1,37,8.58,No,,,,9,6,6,0,NA,0,No,0,Slightly Easy,"Not sure why they used an F-test when they could have used a t-test. Makes me think that had covariates, but none were reported."
41,41,16,1,6/10/2015 16:13,Coder6,JPSP,2003,,Twenge,San Diego State University,Social / Personality,"Twenge, J. M., Catanese, K. R., & Baumeister, R. F. (2003). Social exclusion and the deconstructed state: time perception, meaninglessness, lethargy, lack of emotion, and self-awareness. Journal of personality and social psychology, 85(3), 409.","Original Research (i.e., any study with data that is NOT a meta-analysis)",400,2,96,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,4,ANOVA (F),"F(1, 94) 􏰀 10.56, p 􏰁< .002",1,94,10.56,No,,,,4,2,6,0,NA,0,No,0,Very Easy,Same comment as before--they are using F-tests when t-tests would have been appropriate
42,42,16,1,6/10/2015 16:18,Coder6,JPSP,2003,,Twenge,San Diego State University,Social / Personality,"Twenge, J. M., Catanese, K. R., & Baumeister, R. F. (2003). Social exclusion and the deconstructed state: time perception, meaninglessness, lethargy, lack of emotion, and self-awareness. Journal of personality and social psychology, 85(3), 409.","Original Research (i.e., any study with data that is NOT a meta-analysis)",400,3,43,0,"Experimental (i.e., all IVs were manipulated)",Between,3,1,4,ANOVA (F),"F(2, 40) 􏰀 4.53, p 􏰁< .02.",2,40,4.53,No,,,,10,4,6,0,NA,0,No,0,Moderately Easy,
43,43,16,1,6/10/2015 16:23,Coder6,JPSP,2003,,Twenge,San Diego State University,Social / Personality,"Twenge, J. M., Catanese, K. R., & Baumeister, R. F. (2003). Social exclusion and the deconstructed state: time perception, meaninglessness, lethargy, lack of emotion, and self-awareness. Journal of personality and social psychology, 85(3), 409.","Original Research (i.e., any study with data that is NOT a meta-analysis)",400,4,100,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,ANOVA (F),"F(1, 98) 􏰀 4.35, p 􏰁< .04",1,98,4.35,No,,,,26,2,6,0,NA,0,No,0,Moderately Easy,"The DV was reaction time but they tested for between-condition differences for each of the 25 trials they conducted, plus a test for a difference between trials 1 and 2.
Again, not sure why they used F when they could have used t."
44,44,16,1,6/10/2015 16:27,Coder6,JPSP,2003,,Twenge,San Diego State University,Social / Personality,"Twenge, J. M., Catanese, K. R., & Baumeister, R. F. (2003). Social exclusion and the deconstructed state: time perception, meaninglessness, lethargy, lack of emotion, and self-awareness. Journal of personality and social psychology, 85(3), 409.","Original Research (i.e., any study with data that is NOT a meta-analysis)",400,5,30,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,3,ANOVA (F),"F(1, 28) 􏰀 5.00, p 􏰁< .04",1,28,5,No,,,,3,1,6,0,NA,0,No,0,Very Easy,"hypothesizing a null result, but the significant difference they did find rules out the alternative explanation that they were trying to rule out."
45,45,16,1,6/10/2015 16:33,Coder6,JPSP,2003,,Twenge,San Diego State University,Social / Personality,"Twenge, J. M., Catanese, K. R., & Baumeister, R. F. (2003). Social exclusion and the deconstructed state: time perception, meaninglessness, lethargy, lack of emotion, and self-awareness. Journal of personality and social psychology, 85(3), 409.","Original Research (i.e., any study with data that is NOT a meta-analysis)",400,6,42,2,"Experimental (i.e., all IVs were manipulated)",Between,4,1,4,ANOVA (F),"􏰄2(1, N 􏰀 40) 􏰀 5.76, p <􏰁 .02",,40,5.76,No,,,,15,7,6,0,NA,0,No,0,Moderately Easy,
1190,1190,405,1,8/7/2015 17:54,Coder6,PSPB,2004,,Weeks,Centenary College of Louisiana,Social / Personality,"Weeks, M., & Lupfer, M. B. (2004). Complicating race: The relationship between prejudice, race, and social class categorizations. Personality and Social Psychology Bulletin, 30(8), 972-984.","Original Research (i.e., any study with data that is NOT a meta-analysis)",51,1,69,0,"Experimental (i.e., all IVs were manipulated)",Mixed,2,2,1,ANOVA (F),"F(1, 67) = 16.94, p < .001",1,67,16.94,No,,,No,6,4,2,0,NA,1,No,0,Very Easy,
1192,1192,405,1,8/7/2015 18:02,Coder6,PSPB,2004,,Weeks,Centenary College of Louisiana,Social / Personality,"Weeks, M., & Lupfer, M. B. (2004). Complicating race: The relationship between prejudice, race, and social class categorizations. Personality and Social Psychology Bulletin, 30(8), 972-984.","Original Research (i.e., any study with data that is NOT a meta-analysis)",51,2,202,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,2,1,ANOVA (F),"F(1, 167) = 12.58, p < .002",1,167,12.58,No,,,No,18,14,2,0,NA,2,No,0,Slightly Easy,
293,293,115,1,6/29/2015 16:12,Coder6,Psych Science,2013,,Xu,Northwestern University,Cognitive,"Xu, Y., Suzuki, S., & Franconeri, S. L. (2013). Shifting selection may control apparent motion. Psychological science, 24(7), 1368-1370.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,1,18,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Within,0,2,1,ANOVA (F),"F(1, 17) = 6.29, p = .02",1,17,6.29,Yes,0.02,,No,3,2,1,0,NA,0,No,0,Slightly Difficult,slightly difficult only because I am unfamiliar with this type of cognitive paradigm
80,80,32,1,6/12/2015 9:10,Coder6,Psych Science,2013,,Xygalatas,Aarhus University,Anthropology,"Xygalatas, D., Mitkidis, P., Fischer, R., Reddish, P., Skewes, J., Geertz, A. W., ... & Bulbulia, J. (2013). Extreme rituals promote prosociality. Psychological science, 0956797612472910.","Original Research (i.e., any study with data that is NOT a meta-analysis)",49,1,86,0,"Correlational (i.e., IVs were measured and not manipulated)",Between,4,2,2,ANOVA (F),"F(2, 83) = 11.78, p < .001",2,83,11.78,No,,,,11,10,1,0,NA,0,No,0,Moderately Easy,
295,295,117,1,6/29/2015 16:29,Coder6,Psych Science,2014,,Zhang,Columbia University,Social / Personality,"Zhang, S., Cornwell, J. F., & Higgins, E. T. (2013). Repeating the past prevention focus motivates repetition, even for unethical decisions. Psychological science, 0956797613502363.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,1,87,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,1,5,1,Multiple Regression (t -- for individual predictor),"b = 1.18, exp(b) = 3.27, p = .03.",,None reported,1.18,Yes,0.03,,No,5,2,5,0,NA,1,No,0,Slightly Easy,
296,296,117,1,6/29/2015 16:33,Coder6,Psych Science,2014,,Zhang,Columbia University,Social / Personality,"Zhang, S., Cornwell, J. F., & Higgins, E. T. (2013). Repeating the past prevention focus motivates repetition, even for unethical decisions. Psychological science, 0956797613502363.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,2,80,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Mixed,2,3,1,Multiple Regression (t -- for individual predictor),"b = −2.26, exp(|b|) = 9.60, p = .04",,not reported,-2.26,Yes,0.04,,No,4,1,5,0,NA,0,No,0,Slightly Easy,
297,297,117,1,6/29/2015 16:38,Coder6,Psych Science,2014,,Zhang,Columbia University,Social / Personality,"Zhang, S., Cornwell, J. F., & Higgins, E. T. (2013). Repeating the past prevention focus motivates repetition, even for unethical decisions. Psychological science, 0956797613502363.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,3,63,0,"Experimental (i.e., all IVs were manipulated)",Mixed,2,6,1,Multiple Regression (t -- for individual predictor),"b = 2.17, exp(b) = 8.74, p = .03",,not reported,2.17,Yes,0.03,,No,6,2,5,0,NA,0,No,1,Slightly Easy,
298,298,117,1,6/29/2015 16:44,Coder6,Psych Science,2014,,Zhang,Columbia University,Social / Personality,"Zhang, S., Cornwell, J. F., & Higgins, E. T. (2013). Repeating the past prevention focus motivates repetition, even for unethical decisions. Psychological science, 0956797613502363.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,4,86,0,"Experimental (i.e., all IVs were manipulated)",Between,2,3,1,Chi Square (X),"χ2(1, N = 43) = 13.27, p < .001, φ = .56",,1,13.27,No,,,No,4,3,5,1,φ = .56,0,No,0,Slightly Easy,N was 86 but they were placed in dyads and assigned to roles. The main analysis only included p's who were assigned to one of the roles (this explains the N of 43 in Chi-square analysis).
299,299,117,1,6/29/2015 16:48,Coder6,Psych Science,2014,,Zhang,Columbia University,Social / Personality,"Zhang, S., Cornwell, J. F., & Higgins, E. T. (2013). Repeating the past prevention focus motivates repetition, even for unethical decisions. Psychological science, 0956797613502363.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,5,56,0,"Correlational (i.e., IVs were measured and not manipulated)",Within,1,3,1,Multiple Regression (t -- for individual predictor),"b = −2.66, exp(|b|) = 14.24, p = .02",,not reported,-2.66,Yes,0.02,,No,5,2,5,0,NA,0,No,0,Slightly Easy,
97,97,37,1,6/15/2015 11:10,Coder7,PSPB,2003,,Johnson,University of North Carolina at Wilmington,Social / Personality,"Johnson, J. D., Simmons, C., Trawalter, S., Ferguson, T., & Reed, W. (2003). Variation in Black anti-White bias and target distancing cues: Factors that influence perceptions of “ambiguously racist” behavior. Personality and Social Psychology Bulletin, 29(5), 609-622.","Original Research (i.e., any study with data that is NOT a meta-analysis)",23,1,60,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,4,2,5,ANOVA (F),"F(1, 56) = 20.8, p < .001",1,56,20.8,No,,,,12,11,3,0,,0,No,0,Moderately Easy,
98,98,37,1,6/15/2015 11:30,Coder7,PSPB,2003,,Johnson,University of North Carolina at Wilmington,Social / Personality,"Johnson, J. D., Simmons, C., Trawalter, S., Ferguson, T., & Reed, W. (2003). Variation in Black anti-White bias and target distancing cues: Factors that influence perceptions of “ambiguously racist” behavior. Personality and Social Psychology Bulletin, 29(5), 609-622.","Original Research (i.e., any study with data that is NOT a meta-analysis)",23,2,90,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,6,2,2,ANOVA (F),"F(2, 84)  = 3.27, p < .05",2,84,3.27,No,,,,21,16,3,0,,0,No,0,Moderately Easy,
